pathway	external_id	source	hgnc_symbol_ids
HIF-1 signaling pathway - Homo sapiens (human)	path:hsa04066	KEGG	TIMP1,AKT1,AKT2,AKT3,EGF,LTBR,HKDC1,PIK3CA,PIK3CB,PIK3CD,EDN1,RELA,CUL2,ERBB2,IGF1R,IFNG,HK3,CAMK2G,CAMK2A,CAMK2B,EPO,HK2,ARNT,SLC2A1,TLR4,RBX1,PGK1,CDKN1B,CDKN1A,GAPDH,HIF1A,IFNGR1,IFNGR2,SERPINE1,TFRC,PIK3R3,PIK3R2,PIK3R1,ANGPT2,PDHB,ANGPT1,ANGPT4,NPPA,HK1,IGF1,VEGFA,EIF4E,EGLN3,EGLN2,EGLN1,HMOX1,INS,MAP2K2,EIF4EBP1,CREBBP,MKNK2,MKNK1,MAP2K1,RPS6,ELOB,ELOC,FLT1,TEK,STAT3,RPS6KB1,RPS6KB2,MAPK3,MAPK1,NFKB1,PDHA2,PDHA1,IL6R,ENO1,ENO2,ENO3,ENO4,EP300,PLCG2,PLCG1,IL6,EIF4E1B,EGFR,VHL,INSR,CAMK2D,PFKL,TF,LDHA,NOS2,NOS3,PRKCA,PRKCB,PRKCG,CYBB,ALDOA,EIF4E2,PFKFB3,PDK1,MTOR,BCL2
Viral myocarditis - Homo sapiens (human)	path:hsa05416	KEGG	CD40LG,ACTG1,CD55,HLA-C,HLA-B,HLA-A,HLA-G,HLA-F,HLA-E,ITGB2,CYCS,ABL1,DMD,ABL2,CAV1,HLA-DRA,MYH6,MYH7,SGCG,CD80,BID,SGCD,FYN,SGCB,SGCA,CD86,HLA-DQB1,ICAM1,HLA-DPB1,LAMA2,CD28,RAC2,RAC3,RAC1,HLA-DRB3,PRF1,HLA-DRB1,CD40,HLA-DRB4,HLA-DRB5,DAG1,CXADR,CASP3,CCND1,EIF4G2,EIF4G1,CASP8,CASP9,EIF4G3,ITGAL,HLA-DOA,HLA-DOB,HLA-DPA1,ACTB,HLA-DMB,HLA-DQA1,HLA-DQA2,HLA-DMA
JAK-STAT signaling pathway - Homo sapiens (human)	path:hsa04630	KEGG	BCL2L1,LIF,CRLF2,GHR,IL6ST,IL21,EPO,AKT2,AKT3,IL24,TYK2,EGF,IFNW1,IFNLR1,IL12RB1,PIK3CA,PIK3CB,IL12RB2,PIK3CD,SOCS3,IL2RA,IFNA13,PIK3R3,MYC,IFNA10,IFNA17,IFNA16,PIK3R2,IFNK,SOCS4,IFNG,IFNE,SOCS2,CSF3R,SOCS5,IFNAR2,SOCS7,SOCS6,SOCS1,GH1,GH2,AKT1,CCND1,CCND3,CCND2,CSF2,CSF3,GRB2,IFNA2,PTPN11,LIFR,IL20RA,IL20RB,IL10RA,IL10RB,PDGFA,CDKN1A,IFNA6,IL6,IFNGR1,IFNGR2,STAM,LEP,IFNL2,IFNL3,IL20,PIAS3,PRLR,IFNL1,IL4,IL7,IFNA21,JAK2,JAK3,PIK3R1,JAK1,IL22RA2,IL22RA1,IL5RA,IL4R,OSM,CNTFR,PTPN2,PTPN6,EPOR,IL13RA2,IL13RA1,MPL,IL5,PRL,IL11RA,IL9,IL15RA,CREBBP,IFNAR1,PDGFRB,PDGFRA,CSF2RA,RAF1,STAT6,IL9R,STAT4,STAT3,STAT2,STAT1,CSF2RB,IFNB1,FHL1,CISH,HRAS,IL17D,CTF1,IL7R,LEPR,MTOR,EP300,IL19,IL2RB,IFNA8,SOS2,SOS1,IL2RG,IL10,IL11,IFNA1,IL13,IFNA7,IL15,IFNA5,IFNA4,PIAS2,STAT5B,STAT5A,PIAS1,IL2,IL3,PIAS4,IFNA14,IRF9,IL23R,AOX1,IL23A,EGFR,IL12B,IL12A,MCL1,TSLP,IL6R,STAM2,THPO,OSMR,GFAP,CNTF,PDGFB,PIM1,IL21R,CSH2,IL22,CSH1,IL27RA,IL3RA,BCL2
Renin-angiotensin system - Homo sapiens (human)	path:hsa04614	KEGG	ACE,REN,AGT,ENPEP,CPA3,ATP6AP2,NLN,LNPEP,CTSA,MRGPRD,CTSG,KLK1,KLK2,MAS1,ACE2,THOP1,CMA1,ANPEP,MME,AGTR2,AGTR1,PRCP,PREP
Phenylalanine metabolism - Homo sapiens (human)	path:hsa00360	KEGG	TAT,ALDH3B2,ALDH3B1,AOC2,GOT2,ALDH3A1,AOC3,MIF,MAOB,MAOA,GLYAT,PAH,DDC,IL4I1,GOT1,ALDH1A3,HPD
Arrhythmogenic right ventricular cardiomyopathy (ARVC) - Homo sapiens (human)	path:hsa05412	KEGG	ITGA8,EMD,SGCD,DMD,ACTG1,ATP2A2,ITGA9,DSC2,ITGA2,DES,ITGA4,TCF7,ITGA6,ITGA7,CTNNB1,ITGA10,ITGA11,CACNA1F,CACNG7,CACNB4,LEF1,ITGB6,CACNB3,CACNB2,CACNB1,CACNA1C,CACNA1D,SGCB,SGCA,CTNNA1,JUP,CTNNA2,ITGAV,ITGA1,DSG2,CACNA1S,ITGB1,LAMA2,ITGA3,ITGB5,ITGB4,ITGB7,ACTN2,ITGB8,DSP,ITGA5,SLC8A1,DAG1,CACNA2D2,CACNA2D3,LMNA,CACNA2D1,ACTB,CACNA2D4,CTNNA3,ACTN3,GJA1,CDH2,RYR2,ITGB3,TCF7L1,TCF7L2,CACNG8,SGCG,ITGA2B,CACNG1,CACNG2,CACNG3,CACNG4,CACNG5,CACNG6,PKP2
Endocytosis - Homo sapiens (human)	path:hsa04144	KEGG	HSPA2,WASHC1,ARFGEF2,WASHC4,WASHC5,HSPA8,CHMP2B,IST1,CHMP2A,DAB2,CAV2,FGFR4,CAV1,SMAP1,SMAP2,SPG21,CXCR2,PARD6G,GRK7,GRK4,WWP1,ZFYVE16,GRK3,PARD6A,GRK1,PSD3,PSD2,TFRC,PSD4,VPS35,IL2RA,CBLC,CBLB,IGF1R,RAB5A,RAB5C,RAB5B,RAB11FIP1,SH3GLB2,IZUMO1R,VPS26A,MDM2,SMAD3,FGFR2,FGFR3,ARPC5,IL2RG,PLD1,PLD2,ZFYVE9,KIF5A,KIF5B,VPS26B,SH3KBP1,UBB,ARPC1B,ARRB2,GBF1,ARPC1A,VPS28,SNX3,CAPZB,SNX1,KIF5C,SNX6,SNX5,SNX4,HLA-C,HLA-B,HLA-A,HLA-G,HLA-F,HLA-E,VPS36,CLTA,ARFGAP3,CLTC,CLTB,IQSEC1,IQSEC3,IQSEC2,AP2B1,SMURF1,AP2S1,SMURF2,SH3GL1,VPS37D,VPS37C,VPS37B,VPS37A,CAV3,RAB11A,RAB11B,CHMP5,RNF103-CHMP3,SNX32,VTA1,GRK5,RAB7A,IL2RB,ARPC3,ARPC2,EPN1,RNF41,ARPC4,EPN3,EPS15L1,RHOA,EPN2,SNX12,AMPH,CAPZA3,DNAJC6,PSD,LDLRAP1,GRK6,GIT1,GIT2,AP2A1,CDC42,TSG101,PDGFRA,EHD4,EHD3,EHD2,EHD1,SNX2,GRK2,STAMBP,SMAD2,PARD6B,WASHC3,CCR5,ARRB1,CHMP3,IGF2R,CHMP7,CHMP6,SH3GL3,SH3GL2,VPS45,RAB8A,SPART,ARF3,ARF1,NEDD4,ARF6,ARF5,AP2M1,RAB22A,RABEP1,PML,RAB10,HRAS,SRC,TGFBR1,CHMP4C,AGAP1,AGAP2,AGAP3,VPS4A,VPS4B,MVB12B,CHMP1B,CHMP1A,MVB12A,WAS,RAB11FIP3,RAB11FIP2,CAPZA1,ZFYVE27,RAB11FIP5,RAB11FIP4,PIP5K1C,PIP5K1B,PIP5K1A,ARPC5L,ARFGEF1,SH3GLB1,RAB4A,DNM1,ASAP1,ASAP2,ASAP3,USP8,RBSN,HSPA6,ITCH,TGFBR2,CHMP4A,CHMP4B,ARFGAP1,EGFR,DNM3,HSPA1B,HSPA1A,WASL,HGS,BIN1,HSPA1L,EPS15,RAB35,STAM,ARAP3,ARAP2,RAB31,VPS25,EEA1,STAM2,VPS29,DNM2,CAPZA2,CBL,CXCR1,CXCR4,PIP5KL1,PRKCI,TRAF6,RUFY1,ACAP1,ACAP2,ACAP3,PRKCZ,WASHC2A,SNF8,WASHC2C,AP2A2,CYTH1,CLTCL1,CYTH3,CYTH2,CYTH4,PARD3,ARAP1,LDLR,PDCD6IP,NEDD4L,ARFGAP2,WIPF3,WIPF2,WIPF1,FOLR1,FOLR2,FOLR3
Thyroid hormone synthesis - Homo sapiens (human)	path:hsa04918	KEGG	IYD,TG,GSR,FXYD2,HSPA5,PLCB1,TSHB,DUOX2,TTF2,HSP90B1,TTF1,GPX5,DUOXA2,PLCB3,SLC5A5,TSHR,CANX,PRKACB,SERPINA7,CGA,TTR,PRKACG,PRKCA,GPX2,ATP1A3,ADCY3,ALB,CREB5,LRP2,PLCB2,PRKCB,PLCB4,ATP1A1,TPO,CREB3,ATP1B4,PDIA4,ATP1B2,ATP1B3,PRKCG,ATP1B1,ASGR1,ASGR2,SLC26A4,CREB1,GPX8,ITPR2,ITPR3,ITPR1,PAX8,ADCY1,ADCY4,ADCY5,ADCY6,ADCY7,GNAQ,ADCY2,GNAS,CREB3L4,ADCY8,ADCY9,GPX1,CREB3L3,GPX3,CREB3L1,PRKACA,ATP1A2,GPX7,GPX6,ATP1A4,ATF4,ATF6B,CREB3L2,ATF2
D-Glutamine and D-glutamate metabolism - Homo sapiens (human)	path:hsa00471	KEGG	DGLUCY,GLS,GLS2,GLUD2,GLUD1
Longevity regulating pathway - multiple species - Homo sapiens (human)	path:hsa04213	KEGG	HDAC1,HSPA2,HDAC2,HSPA6,PRKAG1,PIK3CD,PRKAG3,HSPA8,CRYAB,SIRT1,PRKAA1,IRS1,FOXO3,AKT1,FOXO1,AKT3,SOD2,CLPB,HSPA1A,HSPA1L,RPTOR,PIK3CA,PIK3CB,PRKAB1,NRAS,RPS6KB2,ADCY9,AKT1S1,PIK3R3,PIK3R2,PIK3R1,ATG5,HRAS,IGF1R,IGF1,PRKAB2,RPS6KB1,SOD1,EIF4EBP2,PRKAA2,PRKAG2,AKT2,MTOR,CAT,KRAS,ADCY4,ADCY5,ADCY6,ADCY7,ADCY1,ADCY2,HSPA1B,IRS4,ADCY3,ADCY8,INSR,IRS2,INS,PRKACG,FOXA2,PRKACA,PRKACB
D-Arginine and D-ornithine metabolism - Homo sapiens (human)	path:hsa00472	KEGG	DAO
Long-term depression - Homo sapiens (human)	path:hsa04730	KEGG	PPP2R1A,PPP2R1B,GNAI2,NOS1,GRIA2,GRIA3,HRAS,GRIA1,ITPR2,PRKG2,MAP2K2,MAP2K1,PLCB3,ARAF,ITPR3,CRH,RAF1,GNAI3,GNAI1,ITPR1,RYR1,CACNA1A,NRAS,GUCY1A1,MAPK3,GUCY1A2,PRKG1,GNAO1,LYN,BRAF,GRM1,GNA13,PLCB1,IGF1R,IGF1,PLCB4,GRID2,PRKCA,PRKCB,PRKCG,PPP1R17,PLA2G4C,PLA2G4B,PLA2G4A,PLA2G4D,PLA2G4F,PLA2G4E,KRAS,GNAQ,GNAS,PPP2CA,PPP2CB,GNAZ,JMJD7-PLA2G4B,GNA12,GUCY1B1,PLCB2,GNA11,MAPK1,CRHR1
Tight junction - Homo sapiens (human)	path:hsa04530	KEGG	SYNPO,ACTG1,HSPA4,PRKAG1,PRKAG3,STK11,EPB41L4B,MYL6,RAPGEF6,TUBA8,MYL2,RAPGEF2,CLDN11,CLDN16,MYL9,DLG1,TUBA3C,DLG2,TUBA3E,TUBA3D,TIAM1,PARD6G,MAP3K1,CACNA1D,PARD6B,PARD6A,MPP4,MAGI1,MARVELD2,ERBB2,PRKAG2,ARHGEF18,PPP2R2D,PPP2R2A,CRB3,PPP2R2B,CGNL1,GATA4,SYMPK,CCND1,PPP2CA,PPP2CB,CLDN5,ARHGAP17,RUNX1,ACTB,CFTR,YBX3,PRKCI,CD1D,AFDN,CD1B,CD1C,CD1A,MYH15,CD1E,TUBA1C,TUBA1B,TUBA1A,PRKAB1,JUN,CLDN8,CLDN9,NF2,CLDN1,CLDN2,CLDN3,CLDN4,MPDZ,CLDN6,CLDN7,RAB8B,PRKAB2,JAM2,JAM3,BVES,DLG3,RAB8A,RHOA,F11R,TUBAL3,PCNA,CDK4,CDC42,ACTR3,ACTR2,MYH10,MYH11,CLDN10,MYH13,MYH14,CLDN17,CLDN14,CLDN15,ARHGEF2,CLDN18,CLDN19,RAP1A,CTTN,MAPK10,MPP5,MAP3K5,MYH2,MYH3,MYH1,MYH4,CGN,MYH8,MYH9,NEDD4,RAB13,MAPK9,SRC,MARVELD3,RDX,OCLN,WAS,MAPK8,TJP2,TJP3,TJP1,LLGL2,MYL12B,MYL12A,LLGL1,MICALL2,ACTR3C,ACTR3B,WASL,PRKACG,PRKACA,PRKACB,MYL6B,AMOT,AMOTL1,PPP2R1A,PPP2R1B,AMOTL2,RAP2C,IGSF5,PRKAA2,PRKAA1,MSN,MAP2K7,EZR,PATJ,SLC9A3R1,WHAMM,HCLS1,ITGB1,RAC1,CLDN23,CLDN22,CLDN20,PRKCE,CLDN25,CLDN24,PRKCZ,PPP2R2C,TUBA4A,VASP,TJAP1,ACTN1,PARD3,MYH7B,ACTN4,ROCK1,ROCK2,SCRIB,NEDD4L
Small cell lung cancer - Homo sapiens (human)	path:hsa05222	KEGG	BCL2L1,PTGS2,FHIT,IKBKB,AKT1,AKT2,AKT3,IKBKG,RARB,PIK3CA,GADD45B,PIK3CD,GADD45G,MYC,CDKN2B,FN1,CCND1,MAX,BAK1,PTEN,CDKN1B,ITGA2,ITGA3,TRAF2,ITGA6,LAMB1,LAMB3,LAMB2,LAMB4,CCNE2,CCNE1,PIK3R3,PIK3R2,PIK3R1,CHUK,COL4A6,COL4A5,COL4A4,COL4A3,COL4A2,COL4A1,LAMC2,ZBTB17,LAMC1,TP53,ITGAV,GADD45A,PIK3CB,XIAP,LAMC3,POLK,SKP2,ITGA2B,CKS1B,DDB2,NFKB1,CDKN1A,APAF1,LAMA1,LAMA2,NFKBIA,LAMA4,LAMA5,CKS2,RXRG,RXRA,RXRB,CYCS,RELA,E2F2,CDK2,CDK4,CDK6,PTK2,BIRC8,BIRC7,BIRC3,BIRC2,BAX,LAMA3,RB1,ITGB1,TRAF1,NOS2,TRAF3,TRAF4,TRAF5,TRAF6,E2F3,CASP3,E2F1,CASP9,BCL2
Apoptosis - multiple species - Homo sapiens (human)	path:hsa04215	KEGG	BCL2L1,PMAIP1,BIRC8,BIRC7,BIRC6,BIRC5,BIRC3,BIRC2,BAX,XIAP,BOK,MAPK10,NGFR,SEPT4,BBC3,CASP9,HTRA2,BCL2L11,BID,FADD,MAPK8,MAPK9,APAF1,BECN1,BECN2,CYCS,CASP7,CASP3,TNFRSF1A,CASP8,BAK1,DIABLO,BCL2
Influenza A - Homo sapiens (human)	path:hsa05164	KEGG	HSPA2,ACTG1,PABPN1L,HSPA8,IFNAR2,AKT1,AKT2,AKT3,IKBKE,TYK2,HSPA6,DDX39B,PIK3CA,PIK3CB,PIK3CD,OAS1,OAS3,OAS2,IFNA13,JAK2,RELA,IFNA10,IFNA17,IFNA16,IRAK4,IFNA14,HLA-DPB1,NUP98,IFNG,HLA-DRB3,HLA-DRB1,SLC25A6,HLA-DRB4,HLA-DRB5,FASLG,RAE1,CXCL10,RNASEL,FDPS,SOCS3,CXCL8,GSK3B,TLR3,IFNAR1,TLR7,KPNA1,MAPK1,ACTB,MAVS,IFNA1,CCL2,NXF2B,TNFSF10,CCL5,NFKBIB,NFKBIA,IFNA6,IL6,IFNGR1,IFNGR2,RSAD2,XPO1,NXT2,DDX58,NLRX1,ADAR,JUN,NXT1,HLA-DQB1,PIK3R2,PIK3R1,JAK1,MYD88,KPNA2,NXF5,NXF1,NXF2,NXF3,TMPRSS13,IRF3,IRF7,STAT1,TNFRSF1A,IKBKB,IRF9,DNAJC3,EIF2AK4,CREBBP,AGFG1,MAP2K1,MAPK14,TNFRSF10B,TNFRSF10A,PIK3R3,MAPK10,MAPK11,MAPK12,MAPK13,IL1A,VDAC1,RAF1,TICAM1,STAT2,NLRP3,CIITA,DNAJB1,IFNB1,MAPK3,TBK1,ICAM1,PML,NFKB1,MAPK8,MAPK9,BCL2L2-PABPN1,TLR4,CYCS,EP300,HNRNPUL1,IL18,MAP2K3,IFNA8,MAP2K2,EIF2AK1,IFNA2,EIF2AK3,EIF2AK2,IFNA7,HSPA1A,IFNA5,IFNA4,PLG,IFNA21,HLA-DOA,HLA-DOB,HLA-DPA1,IL1B,IFIH1,FURIN,MX1,IL12B,IL12A,PRSS1,HSPA1B,PRSS3,PRSS2,MAP2K7,MAP2K6,MAP2K4,CPSF4,EIF2S1,HSPA1L,HLA-DRA,FAS,TRIM25,PYCARD,IVNS1ABP,PABPN1,PRKCA,TMPRSS2,PRKCB,TMPRSS4,TNF,IL33,CASP1,CASP9,ATF2,HLA-DMB,HLA-DQA1,HLA-DQA2,HLA-DMA
Systemic lupus erythematosus - Homo sapiens (human)	path:hsa05322	KEGG	HIST1H4C,HIST1H4B,HIST1H4A,HIST1H4G,HIST1H4F,HIST1H4E,HIST1H4D,HIST1H4K,HIST1H4J,HIST1H4I,HIST1H4H,ELANE,HIST1H4L,FCGR1A,TROVE2,H2AFB3,H2AFB2,H2AFB1,H3F3C,H3F3B,HLA-DPB1,CD28,H3F3A,IFNG,HLA-DRB3,HLA-DRB1,TRIM21,HLA-DRB4,HLA-DRB5,HIST3H2BB,H2BFM,H2AFV,SNRPD3,SNRPD1,C1QC,C1QB,C1QA,HIST3H3,TNF,H2AFX,H2AFY,H2AFZ,CTSG,HLA-DQB1,C4A,C4B,HIST1H2BD,HIST1H2BE,HIST1H2BF,HIST1H2BG,HIST2H3C,HIST1H2BA,HIST2H3A,HIST1H2BC,HIST1H2BL,HIST1H2BM,HIST1H2BN,HIST1H2BO,HIST1H2BH,HIST1H2BI,HIST1H2BJ,HIST1H2BK,HIST2H3D,H2AFJ,HIST3H2A,SSB,CD40LG,HIST1H2BB,H2AFY2,SNRPB,CD80,CD86,C9,C3,C2,HIST2H2AA3,C7,C6,C5,H2BFWT,C8A,IL10,HIST2H2AA4,HLA-DOA,HLA-DOB,HLA-DPA1,HIST2H2BF,HIST1H2AK,C8G,FCGR3A,FCGR3B,HIST1H2AM,HIST1H2AL,C8B,HIST1H2AI,HIST1H2AH,HIST2H2BE,HIST1H2AJ,HIST1H2AE,HIST1H2AD,HIST1H2AG,HIST2H4B,HIST1H2AC,HIST1H2AB,HLA-DRA,HIST4H4,HIST1H2AA,HIST2H4A,CD40,FCGR2A,HIST1H3B,HIST1H3C,HIST1H3A,HIST1H3F,HIST1H3G,HIST1H3D,HIST1H3E,HIST1H3J,HIST1H3H,HIST1H3I,HIST2H2AB,HIST2H2AC,ACTN1,ACTN4,GRIN2B,GRIN2A,C1S,C1R,HLA-DMB,HLA-DQA1,HLA-DQA2,HLA-DMA
Acute myeloid leukemia - Homo sapiens (human)	path:hsa05221	KEGG	CSF1R,HRAS,MAP2K1,IKBKB,AKT1,BAD,AKT3,RUNX1T1,CSF2,FCGR1A,IL3,RPS6KB2,RAF1,FLT3,MAP2K2,RARA,CEBPA,SPI1,STAT3,ZBTB16,CEBPE,CCNA1,PIK3CA,PIK3CB,NRAS,STAT5A,PIK3CD,MAPK3,JUP,MAPK1,PIK3R3,PIK3R2,PIK3R1,PML,RUNX1,MYC,DUSP6,ITGAM,TCF7,PIM2,PIM1,CHUK,PER2,PPARD,MTOR,NFKB1,LEF1,RELA,KRAS,SOS2,SOS1,BCL2A1,CCND1,MPO,TCF7L1,TCF7L2,KIT,AKT2,STAT5B,CD14,GRB2,EIF4EBP1,BRAF,ARAF,RPS6KB1,IKBKG
Autoimmune thyroid disease - Homo sapiens (human)	path:hsa05320	KEGG	CD40LG,CTLA4,HLA-C,HLA-B,HLA-A,HLA-G,HLA-F,HLA-E,TSHR,HLA-DRA,CGA,CD80,CD86,IFNA21,HLA-DQB1,TSHB,IFNA13,TG,IFNA10,IFNA17,IFNA16,IFNA14,HLA-DPB1,CD28,TPO,HLA-DRB3,HLA-DRB1,CD40,HLA-DRB4,HLA-DRB5,FASLG,PRF1,IFNA8,GZMB,IL10,IFNA2,IFNA1,IFNA7,IFNA6,IFNA5,IFNA4,IL4,IL5,IL2,HLA-DOA,HLA-DOB,FAS,HLA-DPA1,HLA-DMB,HLA-DQA1,HLA-DQA2,HLA-DMA
Inflammatory bowel disease (IBD) - Homo sapiens (human)	path:hsa05321	KEGG	TGFB1,TGFB2,TGFB3,IL23A,FOXP3,TBX21,RORC,IL12B,IL12A,SMAD3,IL21,IL22,IFNGR1,IFNGR2,NFATC1,IL1A,IL1B,IL4R,IL6,HLA-DRA,STAT4,STAT3,IL18RAP,IL12RB1,IL12RB2,JUN,RORA,HLA-DQB1,NOD2,NFKB1,RELA,HLA-DPB1,IL17F,IL17A,STAT6,IFNG,HLA-DRB3,IL18R1,HLA-DRB1,TLR4,HLA-DRB4,HLA-DRB5,TNF,SMAD2,IL21R,GATA3,IL18,STAT1,IL2RG,IL23R,IL13,TLR2,IL10,IL4,IL5,IL2,HLA-DOA,HLA-DOB,TLR5,HLA-DPA1,MAF,HLA-DMB,HLA-DQA1,HLA-DQA2,HLA-DMA
Mannose type O-glycan biosynthesis - Homo sapiens (human)	path:hsa00515	KEGG	RXYLT1,FKTN,B3GAT2,B3GAT1,FKRP,MGAT5B,B4GALT1,B4GALT3,B4GALT2,ST3GAL3,LARGE1,LARGE2,ISPD,POMK,CHST10,B3GALNT2,POMGNT1,POMGNT2,B4GAT1,FUT4,POMT1,POMT2,FUT9
proline degradation	PROUT-PWY	HumanCyc	PRODH,ALDH4A1
Protein digestion and absorption - Homo sapiens (human)	path:hsa04974	KEGG	KCNE3,FXYD2,COL11A1,COL11A2,CTRL,CELA2A,CELA2B,SLC38A2,ATP1B4,CELA3B,ATP1B3,ATP1B1,KCNN4,SLC15A1,COL15A1,COL7A1,CPB2,CPB1,ACE2,MEP1A,XPNPEP2,SLC7A8,SLC7A9,SLC7A7,COL3A1,SLC9A3,CPA2,CPA3,CPA1,COL27A1,COL13A1,COL1A2,KCNQ1,COL4A6,COL4A5,COL4A4,COL4A3,COL4A2,COL4A1,SLC3A2,SLC3A1,MEP1B,COL12A1,COL2A1,PGA3,SLC36A1,SLC6A19,SLC8A1,SLC8A3,SLC8A2,ELN,COL9A2,COL9A3,COL9A1,COL5A2,COL5A3,COL5A1,COL17A1,ATP1A4,ATP1A3,ATP1A2,ATP1A1,COL1A1,MME,COL10A1,COL22A1,PRSS1,PRSS3,PRSS2,KCNK5,SLC16A10,DPP4,KCNJ13,COL21A1,COL18A1,ATP1B2,COL24A1,CELA3A,PGA4,PGA5,COL6A2,COL14A1,CTRB1,COL6A1,SLC1A5,COL6A3,PRCP,COL6A5,SLC1A1,COL6A6
Ribosome biogenesis in eukaryotes - Homo sapiens (human)	path:hsa03008	KEGG	SNORD3B-1,RRP7A,SNORD3B-2,REXO1,REXO2,REXO5,GNL3,GNL2,RNA5S6,RAN,NOB1,NAT10,IMP3,RPP40,TCOF1,IMP4,UTP14A,LSG1,TBL3,CSNK2A3,CSNK2A2,CSNK2A1,EFL1,POP1,POP7,XRN1,XRN2,POP4,GAR1,RMRP,NXF2B,NOP10,NHP2,XPO1,WDR43,NMD3,RNA5S11,RNA5S10,RNA5S13,RNA5S12,RNA5S15,RNA5S14,RNA5S17,RNA5S16,NXF5,NXF1,NXF2,NXF3,RPP25,RPP25L,PWP2,FCF1,WDR36,NVL,RBM28,MDN1,RPP38,RPP30,MT-RNR1,MT-RNR2,DROSHA,GNL3L,UTP15,UTP18,POP5,RCL1,RNA5S9,RNA5S8,RNA5S5,RNA5S4,RNA5S7,NOL6,RNA5S1,RNA5S3,RNA5S2,RIOK2,RIOK1,AK6,NXT2,NXT1,CSNK2B,FBL,UTP6,UTP4,EIF6,WDR3,SNORD3C,SNORD3A,NOP58,NOP56,HEATR1,SBDS,GTPBP4,BMS1,MPHOSPH10,UTP14C,EMG1,DKC1,WDR75,SPATA5,SNU13
Fat digestion and absorption - Homo sapiens (human)	path:hsa04975	KEGG	CEL,CLPS,CD36,PNLIP,PLA2G1B,FABP1,APOA4,APOA1,PNLIPRP1,PNLIPRP2,APOB,DGAT1,PLA2G12B,PLA2G12A,DGAT2,ACAT2,PLA2G5,PLA2G3,FABP2,GOT2,PLPP1,PLPP3,PLPP2,LIPF,PLA2G2A,PLA2G2C,MOGAT2,PLA2G2D,PLA2G2F,SLC27A4,PLA2G10,ABCG5,ABCG8,SCARB1,MTTP,AGPAT2,AGPAT1,ABCA1,PLA2G2E,NPC1L1,MOGAT3
Nicotinate and nicotinamide metabolism - Homo sapiens (human)	path:hsa00760	KEGG	CD38,AOX1,NT5E,NAMPT,NMRK1,NMRK2,QPRT,NT5M,NT5C,NT5C3A,NADK,NT5C3B,NT5C1B,NT5C1A,NMNAT2,NMNAT3,NADK2,NT5C2,ASPDH,ENPP3,NADSYN1,NUDT12,ENPP1,NT5C1B-RDH14,NNT,NMNAT1,PNP,NAPRT,NNMT,BST1
GnRH signaling pathway - Homo sapiens (human)	path:hsa04912	KEGG	PTK2B,CALM2,CALM3,CALM1,MAP3K2,MAP3K3,CACNA1C,CACNA1D,CACNA1F,CACNA1S,LHB,CAMK2D,CAMK2G,CAMK2A,CAMK2B,KRAS,ADCY4,ADCY5,ADCY6,ADCY7,ADCY1,PLD2,ADCY3,ADCY8,ADCY9,GRB2,MAPK10,MAPK11,MMP14,HRAS,ADCY2,EGR1,JUN,ELK1,GNRH2,PLCB1,PLCB2,PLCB3,PLCB4,GNRH1,ITPR2,ITPR3,ITPR1,GNAQ,GNAS,CALML3,CALML6,CALML5,CALML4,CDC42,MAP3K1,MAPK14,GNRHR,MAP3K4,MAPK12,MAPK13,RAF1,MAPK3,CGA,HBEGF,MAPK1,MAPK7,MAPK8,MAPK9,SRC,SOS2,SOS1,JMJD7-PLA2G4B,PRKACG,PRKACA,PRKACB,PLD1,EGFR,MAP2K3,MAP2K2,MAP2K1,MAP2K7,MAP2K6,MAP2K4,FSHB,NRAS,PRKCA,PRKCB,PRKCD,PLA2G4C,PLA2G4B,PLA2G4A,PLA2G4F,PLA2G4E,PLA2G4D,GNA11,ATF4,MMP2
Bile secretion - Homo sapiens (human)	path:hsa04976	KEGG	EPHX1,FXYD2,HMGCR,ADCY8,AQP4,SLCO1B1,SLC5A1,SLCO1B3,SLCO1B7,SLC4A2,LDLR,RXRA,NR0B2,SLC10A2,SLC10A1,SLC9A1,SLC9A3,ATP1A3,AQP1,PRKACG,SLC4A5,AQP9,ABCB1,ATP1A4,ABCB4,NR1H4,ABCG2,CYP7A1,SULT2A1,UGT2B4,ATP1A2,ATP1B2,ATP1B4,SLC4A4,NCEH1,AQP8,ATP1B3,SCTR,ABCB11,KCNN2,SLCO1A2,SLC27A5,CYP3A4,ATP1B1,ABCG5,ADCY4,ADCY5,ADCY6,ADCY7,ADCY1,ADCY2,ADCY3,ABCG8,CA2,SCARB1,GNAS,BAAT,ADCY9,SLC2A1,SLC51A,SLC51B,SLC22A7,PRKACA,SLC22A1,ATP1A1,PRKACB,ABCC4,SLC22A8,CFTR,ABCC2,ABCC3
